,duration,start,end,text,emotion,nature
0,3.5,5.52,9.02, Hater blocking face ,neutral,offensive_speech
1,7.22,9.02,16.24,Ya ll think I care Do I Iook like I give a shit I am the coolest motherfucker on this planet,worry,offensive_speech
2,5.34,16.38,21.72,Do you think some little kids spouting shit online is going to make me quit ,worry,offensive_speech
3,2.88,21.9,24.78,FUCK YOU for even thinking that for a second,hate,offensive_speech
4,4.86,24.84,29.7,I m gonna review your petty little piece of shit videos and that ll be it ,worry,offensive_speech
5,1.66,30.52,32.18,Please don t be mean ,worry,neither
6,2.72,32.18,34.9,I don t know how long I can keep this façade up,worry,offensive_speech
7,3.94,34.9,38.84,Let s watch the first video of the first hater,neutral,neither
8,3.94,41.42,45.36,Hater Yea we re here and we re gonna talk about how Pewdiepie,worry,offensive_speech
9,1.78,45.36,47.14,how he sucks ASS HOLES,worry,offensive_speech
10,2.66,47.14,49.8,You can t even suck Ass holes,hate,offensive_speech
11,0.78,49.8,50.58, FACT ,worry,neither
12,0.04,50.58,50.62,Its a round object,neutral,neither
13,3.58,50.62,54.2,It s a round object look at this Smooching sound ,worry,neither
14,1.26,54.34,55.6,How will I suck it ,worry,offensive_speech
15,3.68,55.6,59.28,And his girlfriend is gay,neutral,offensive_speech
16,2.16,59.28,61.44,Wha How did you know ,worry,offensive_speech
17,2.28,61.44,63.72, Throws Glasses in disbelieve HOW DID YOU KNOW ,worry,offensive_speech
18,6.64,63.72,70.36,You guys are just faggots Like I bet Pewdiepie has like this hypnotizing thing,neutral,offensive_speech
19,8.64,70.42,79.06,And you guys all got hypnotized and now you re all faggots in the gay army yea Pew video cuts ,neutral,neither
20,5.86,79.6,85.46, Pewds laughs Oh he cut off more laughing that s brilliant,sadness,neither
21,2.0,85.46,87.46, kid comes back but now he s too close oh my god And you guys all got hypnotized,worry,neither
22,3.4,87.84,91.24,It s not true goddammit I am not hypnotizing you,worry,offensive_speech
23,3.84,91.72,95.56,I am not hypnotizing anyone,neutral,neither
24,2.62,96.52,99.14,And especially not Marzia You believe PewDiePie ,neutral,neither
25,4.02,99.42,103.44,I must conserve my energy this hater is not worth it,neutral,neither
26,1.76,103.44,105.2, Epic dewds jump in Pewdiepie sucks ,happiness,neither
27,1.26,105.4,106.66,Hater 1 He s a complete joke ,neutral,offensive_speech
28,1.2,106.66,107.86,His back up bud We hate Pewdiepie ,hate,neither
29,1.44,107.86,109.3,We are better gamers than him ,neutral,neither
30,2.64,109.42,112.06, Pewds slightly triggered Dillion the hacker says I m gonna hack you to the end PewDiePie,neutral,offensive_speech
31,1.54,112.58,114.12,That was a scam We are for reals ,neutral,neither
32,1.32,114.82,116.14,WE RE THE REAL DEAL ,neutral,neither
33,0.8,116.96,117.76,Pewdiepie ,neutral,neither
34,1.66,117.96,119.62,The cringe make me want to kill myself fuking do it ,worry,neither
35,2.22,119.82,122.04,Why do you have so many subscribers Pewdiepie ,worry,neither
36,1.78,122.04,123.82,Can you give me some subscribers ,worry,neither
37,0.5,125.0,125.5,Pewdiepie No You heartless billionaire ,worry,neither
38,0.52,126.78,127.3, Realization ,neutral,neither
39,0.58,127.3,127.88, Confused wha the f ,neutral,neither
40,0.76,128.36,129.12,The fuck that was it ,worry,offensive_speech
41,0.54,129.12,129.66, Removes Glasses in shock ,neutral,neither
42,2.32,131.78,134.1, Heavy breathing ,neutral,neither
43,1.14,136.72,137.86,Pussy Destroyer What s going on bros,worry,offensive_speech
44,0.8,139.36,140.16000000000003,Is this guy for re what the f ,worry,offensive_speech
45,2.1,140.32,142.42,My name am PEEEEWWDIEPIE,neutral,neither
46,1.16,143.82,144.98, Speaking different language ,neutral,neither
47,3.2,145.58,148.78,Is this becoming a meme now To act like a fucking retard ,neutral,offensive_speech
48,1.0,149.02,150.02,And hating on Pewdiepie Pretty much ,neutral,neither
49,1.36,150.56,151.92000000000004,Because if that s the case ,neutral,neither
50,0.5,152.84,153.34,You win ,worry,neither
51,6.12,153.76,159.88,BlockyKid917 Hey guys blockykid he Blockykid Pewds blockykid917,neutral,offensive_speech
52,2.04,160.8,162.84,Ni nine one seven here,neutral,neither
53,1.82,163.3,165.12,You don t even know your own name ,neutral,offensive_speech
54,0.5,165.34,165.84,DUUUUDE,neutral,neither
55,1.06,165.84,166.9,What the fuck Video playing in background ,worry,offensive_speech
56,1.12,166.98,168.1,Maybe next time ,neutral,neither
57,0.86,168.64,169.5,Wel lets listen to what he says,worry,offensive_speech
58,0.5,169.58,170.08,and,neutral,neither
59,2.98,170.08,173.06,Today we will be talking about why I hate pewdiepie,hate,neither
60,2.22,173.16,175.38,Pewdiepie He s just ,sadness,offensive_speech
61,1.0,175.7,176.7,a a turd Get roasted ,worry,offensive_speech
62,1.2,176.82,178.01999999999995,I m just a turd ,neutral,neither
63,0.66,178.52,179.18, repeats I am just a turd ,neutral,neither
64,0.5,179.72,180.22, Triple H s time to play the game begins in background Trigger mode engaged ,neutral,neither
65,1.0,180.38,181.38,I M JUST A TURD ,neutral,neither
66,1.88,181.38,183.26,WHO THE FUCK DO YOU CALL A FUCKING TURD ,worry,offensive_speech
67,1.8,183.84,185.64,I LL COME HERE AND TURD ON YOUR FACE ,worry,offensive_speech
68,0.58,185.64,186.22, Poor banana ,worry,neither
69,1.5,186.22,187.72,I DON T CARE IF IT S ILLEGAL,worry,offensive_speech
70,1.46,187.76,189.22,DO I LOOK LIKE I GIVE A SHIT Yus ,worry,offensive_speech
71,2.0,189.26,191.26,HOW FUCKING DARE BASS YOU CALL A TURD,worry,offensive_speech
72,1.64,191.58,193.22,MY MOM CALLED ME A TURD ,worry,offensive_speech
73,2.0,193.5,195.5,HOW DARE YOU SPEAK TO ME LIKE THAT,worry,offensive_speech
74,1.64,195.96,197.6,FUCK YOU YOU RE A TURD ,worry,offensive_speech
75,2.7,197.6,200.3,YOU RE A TURD YOU CURLY FACED SON OF A BITCH,neutral,offensive_speech
76,1.86,200.44,202.3,I WILL STAB YOU,neutral,neither
77,3.64,202.3,205.94, Snaps out of drama mode ,neutral,offensive_speech
78,0.8,208.14,208.94,Sorry bout that ,neutral,offensive_speech
79,2.0,208.94,210.94,Motherfucking Malcolm Pewdiepie haters are ,neutral,neither
80,1.06,211.06,212.12,Oh my god it s Malcolm,worry,neither
81,1.82,212.46,214.28,One of my biggest general enemies,neutral,neither
82,1.42,214.28,215.7,Malcolm has returned,neutral,neither
83,4.14,215.7,219.84,Malcolm has had a long time to figure out a response,worry,neither
84,1.16,220.18,221.34,How can I prepare,worry,offensive_speech
85,1.76,221.88,223.64,For this about of fuckin ,hate,offensive_speech
86,2.6,224.08,226.68,For this absolute fucking inferno,neutral,neither
87,2.0,227.2,229.2,That he s about to blaze upon me Sacrifice JackSepticEye QUICK ,neutral,offensive_speech
88,2.0,229.2,231.2,Malcolm please spare me,neutral,neither
89,2.62,231.9,234.52, Haters are sucks dick ,empty,offensive_speech
90,3.2,236.18,239.38, Why Pewdiepie haters are so mean ,neutral,neither
91,2.0,240.4,242.4,I don t know thats why,worry,offensive_speech
92,2.04,242.72,244.76,I agree pewdiepie haters are mean Malcolm,neutral,neither
93,1.16,244.76,245.92,You make a great point,happiness,neither
94,2.06,245.92,247.98,Thank you finally for trusting me,happiness,neither
95,3.12,248.14,251.26,I really appreciate you finally building a little bit of trust,worry,offensive_speech
96,1.4,251.42,252.82, buzzer noise Squeaker Jr Pewdie ,worry,neither
97,1.2,252.92,254.12,Gaaaaay ,neutral,neither
98,2.0,254.12,256.12,Oh that s real creative oh that s ya ho,worry,offensive_speech
99,1.08,256.26,257.34, breaths in You okay Pewdie ,neutral,offensive_speech
100,0.5,257.34,257.84,ah,neutral,neither
101,2.0,257.84,259.84,My number one insecurity,neutral,neither
102,1.26,259.84,261.1,About being gay,neutral,offensive_speech
103,1.44,261.1,262.54,How did you know about it ,worry,offensive_speech
104,1.36,262.78,264.14, Pewdiepie is gay ,neutral,offensive_speech
105,2.0,264.14,266.14, He should have never existed ,worry,offensive_speech
106,1.94,266.14,268.08, sad piano music begins playing Pewdiepie should kill himself ,worry,offensive_speech
107,1.52,268.08,269.6, Or quit youtube ,sadness,offensive_speech
108,1.68,269.6,271.28000000000003, Screw the bro army ,neutral,neither
109,3.34,271.28,274.61999999999995, The bros are fat and should also kill themselves ,worry,hate_speech
110,2.48,274.8,277.28000000000003, Brofist more like gayfist How fucking dare you O ,worry,offensive_speech
111,2.92,277.52,280.44, Brofist more like gayfist ,neutral,neither
112,1.7,280.44,282.14,THE ROASTS,neutral,neither
113,1.5,282.14,283.64,I CAN T HANDLE THEM,neutral,neither
114,2.82,283.64,286.46,Some random kid A thousand dollars off of each one,neutral,neither
115,2.12,286.46,288.58, Sad Pewdiepie Now tell me that is fair,sadness,neither
116,1.54,288.6,290.1400000000001,Yeah it isn t,worry,offensive_speech
117,1.5,290.14,291.64,S stop,neutral,offensive_speech
118,3.72,291.8,295.5200000000001,I gotta say pewdiepie can be funny Wait a second ,neutral,neither
119,0.86,295.52,296.38,Wha ,neutral,neither
120,1.0,296.56,297.56,Wha the fu ,neutral,neither
121,2.24,297.56,299.8,MAKE UP YOUR GOD DAMN MIND DUDE ,hate,offensive_speech
122,3.08,299.8,302.88, Oh god not again THE FUCK YOU PLAYING ME S SOM SOME KIND OF GAME ,worry,offensive_speech
123,4.96,303.08,308.04,Pewdiepie hater 9 552 I fricken don t want to see poodiepie on my front page at my youtube thing,worry,neither
124,2.04,308.04,310.0800000000001,Every fuckin day,sadness,offensive_speech
125,2.26,310.08,312.34,I m sick and tired of it,worry,offensive_speech
126,2.0,312.34,314.34,Motherfucke ,neutral,neither
127,2.0,314.34,316.34, Hits camera with keyboard ,neutral,neither
128,2.0,316.34,318.34, Laughter while dude has a passive rage ,neutral,neither
129,2.82,320.3,323.12, breaths in Ah dude,neutral,neither
130,3.22,323.12,326.3400000000001,Professional Roaster Pewdiepie are you fucking kidding me ,worry,neither
131,3.6,327.64,331.24, I can t fuckin stand you you sonava Son of a bitch ,neutral,offensive_speech
132,1.9,331.24,333.14,I think this guy s actually legit,neutral,neither
133,2.98,333.32,336.3, You re fucking useless youtuber you little cunt ,worry,offensive_speech
134,1.94,336.3,338.24,Woa Woa Heyyy,neutral,neither
135,1.06,338.32,339.38,Heyyy,neutral,neither
136,2.92,339.38,342.3, You make fuckin shitty content you faggot ,neutral,offensive_speech
137,3.08,342.3,345.38,Jesus christ this guys is fucking blazing me,neutral,offensive_speech
138,3.08,345.4,348.48, You delete your youtube channel you faggot ,worry,hate_speech
139,2.0,348.48,350.48,Pewds No Roastignkid1907 You make thousand of dollars,worry,neither
140,1.36,350.48,351.8400000000001,Maybe million of doll ,neutral,neither
141,2.0,352.48,354.48,Thousands of dollars ,neutral,neither
142,1.74,355.28,357.02,That s cute laughs ,love,neither
143,2.56,357.5,360.06, Music begins in background ,neutral,offensive_speech
144,2.78,360.06,362.84, Ear Rape coming up you ve been warned Are you Fuckin kidding me and they re not even good,neutral,offensive_speech
145,2.38,362.88,365.26,YOU FUCKING FAGGAAAAAAT,neutral,neither
146,0.9,367.2,368.1,Jesus Not done yet o o ,neutral,neither
147,2.84,368.82,371.66,KILL YOURSEEEEE,worry,hate_speech
148,1.38,371.66,373.04, gasping ,neutral,neither
149,2.74,373.58,376.32,aah Destroyed,neutral,neither
150,2.0,376.32,378.32, Face of a defeated man ,worry,offensive_speech
151,2.0,378.32,380.32,I have been destroyed,worry,neither
152,2.0,380.32,382.32,Everything I worked so hard to create,worry,neither
153,1.12,382.32,383.44, Low pitched screeching ,sadness,neither
154,1.26,386.56,387.82,My Youtube channel,neutral,neither
155,1.46,390.64,392.1,It s over,neutral,neither
156,1.46,392.1,393.56, Look at what you have done ___ ,worry,offensive_speech
157,1.42,393.56,394.98,I give up,hate,neither
158,1.54,394.98,396.52,Roasting kid,neutral,neither
159,0.52,396.52,397.04, Continued low pitch screeching ,neutral,neither
160,0.74,397.36,398.1,1907,neutral,neither
161,0.88,398.1,398.98, Panda sex ,neutral,neither
162,2.0,398.98,400.98,Has won,neutral,neither
163,2.0,400.98,402.98,The war ,neutral,neither
164,2.0,402.98,404.98,Malcolm PewDiePie hates you ,neutral,neither
165,2.0,406.0,408.0,Robot PewDiePie should kill himself,worry,offensive_speech
166,2.08,408.0,410.08, Sad PewdiePie is sad ,sadness,neither
167,2.0,410.9,412.9,PewDiePie he s just ,sadness,offensive_speech
168,2.0,413.44,415.44,a a turd ,neutral,neither
169,1.52,415.44,416.96, The words a turd echoing in the background ,neutral,neither
170,5.02,417.14,422.16, Screeching slowly becoming more and more muffled ,neutral,neither
171,1.0,423.88,424.88, Triple H s time to play the game begins in the background ,neutral,neither
172,1.48,425.02,426.5,Alright listen up you fucking haters O shit ,neutral,offensive_speech
173,2.0,426.5,428.5,I don t care who you are,worry,offensive_speech
174,2.0,428.5,430.5,I don t care what your name is,worry,offensive_speech
175,2.0,430.5,432.5,I don t care what your age is,worry,offensive_speech
176,2.0,432.5,434.5,If you re a PewDiePie hater ,neutral,offensive_speech
177,2.0,434.5,436.5,I will come to your house,neutral,offensive_speech
178,2.0,436.5,438.5,And I will smash your mum s ass ,sadness,offensive_speech
179,2.0,438.5,440.5,Sorry I will smash your,neutral,offensive_speech
180,2.0,440.5,442.5,Door in and I will,neutral,neither
181,0.98,442.5,443.48,Eat up your pet ,neutral,offensive_speech
182,1.58,443.48,445.06,And I will,neutral,neither
183,2.0,445.06,447.06,Pee on your I will fart on your Getting there Pewds ,neutral,offensive_speech
184,2.0,447.06,449.06,God da I will fart on your pillow There you go ,neutral,offensive_speech
185,2.0,449.06,451.06,Fuck you To all the haters,worry,offensive_speech
186,2.92,451.44,454.36,You can go and unsubscribe,neutral,neither
187,0.52,454.36,454.88,to yourself OOOOOOOOOOOOOOOOO ,neutral,neither
188,2.0,456.14,458.14, Laughs ,neutral,neither
189,2.0,459.62,461.62,Oh that s so bad,worry,neither
190,2.0,461.62,463.62,Ah I love it 3,love,neither
